Year,Week,Most Volatile Stocks,Volatility Top Ten,Least Volatile Stocks,Volatility Bottom Ten
2013,6,AME,5.0038123848620835,ZION,0.31864095818884447
2013,6,URI,5.003360252865688,CL,0.5018386948939562
2013,6,PSA,4.846529461845554,PNC,0.5175359304843112
2013,6,ANSS,4.558777714275061,VRSK,0.5710501973341391
2013,6,UPS,4.527955552213813,ANTM,0.6274949320004959
2013,6,UNP,4.497659708902977,PDCO,0.6276168784118508
2013,6,REG,4.283701231911154,DAL,0.6280528699400867
2013,6,UAA,4.250242913939743,ADM,0.6580208852816559
2013,6,SCG,4.163757974402928,COG,0.6675336728648531
2013,6,CDNS,4.096936831837525,XEL,0.6683048436081261
2013,7,AMD,3.4680724648131176,ADI,0.948554578808734
2013,7,ALB,3.230467450885558,DISH,0.9571701596827413
2013,7,AZO,3.210382492019305,PNC,1.1137883475508663
2013,7,MAT,3.1183295648480702,FLS,1.1222464261089438
2013,7,TDG,3.1118346702032325,HAS,1.1579768125993062
2013,7,SHW,3.104548425821453,XEC,1.175463396945561
2013,7,HBI,3.0936987106744795,ALL,1.1982470809785544
2013,7,PCLN,3.067909349294645,ANTM,1.202192421658901
2013,7,HST,3.0273858710431347,JWN,1.206207533159747
2013,7,CNC,3.020562383666685,APC,1.2116881945567541
2013,8,XYL,4.24880209321371,LKQ,1.2365449819081653
2013,8,DFS,3.9284706367961375,PX,1.2379653860956443
2013,8,GOOGL,3.7557571012284576,PWR,1.2477658316426363
2013,8,MGM,3.7293288292323865,MSI,1.2544743215199623
2013,8,PSX,3.5898916730270534,IDXX,0.9732547059341938
2013,8,AMD,3.5584067624942355,ECL,0.986092394504538
2013,8,PCLN,3.466535952439748,CPB,0.9965922891919522
2013,8,MA,3.441550454458089,NOC,1.0199312914126653
2013,8,AMGN,3.4408600308674577,LLY,1.037584077263301
2013,8,ATVI,3.3250514078408484,VFC,1.0497598476137757
2013,9,PCLN,3.695423209223054,ARNC,1.0546434486825553
2013,9,IBM,3.586547114037569,M,1.0632335877237855
2013,9,EL,3.4482132347709524,AIG,1.0981977503336422
2013,9,DE,3.3822025016196733,CI,1.105778631184659
2013,9,GPN,3.285041083379469,IVZ,1.1254550942961887
2013,9,AZO,3.2574732852811232,KMI,1.165086525846907
2013,9,AMD,3.2095263476769977,AAPL,1.168336583213771
2013,9,DFS,3.2063777219154432,TEL,1.1974483200292223
2013,9,XYL,3.194572507999961,FLS,0.7859664965001901
2013,9,ETN,3.165257010237698,NUE,0.8468658761013377
2013,10,AMD,3.731687516906007,IT,1.0424243610955641
2013,10,XYL,3.5973535404925165,PNC,1.101982436315697
2013,10,IBM,3.2876796601723917,MSFT,1.115616914147497
2013,10,ESS,3.2637552550575313,PDCO,1.1189993865206678
2013,10,AFL,3.2478068483220355,TROW,1.1921031817269077
2013,10,EMN,3.175623830024977,O,1.1981277680913123
2013,10,PCLN,3.0916634658569735,IP,1.2378887279174915
2013,10,HAL,3.014740371343779,DISCA,1.2447028086745282
2013,10,BBY,2.987622621772849,CERN,1.2490870852827722
2013,10,SEE,2.9651842246139477,RHI,1.2575639225612976
2013,11,AMD,3.666847191327027,WFC,1.2583842616256566
2013,11,LEN,3.6619189229477036,MET,1.3053935578717368
2013,11,MON,3.5389583896971195,MSI,0.8414865586832845
2013,11,JBHT,3.478257069998469,VIAB,0.9074129001140662
2013,11,CAH,3.4646869338390696,VLO,1.0645021620421249
2013,11,GOOGL,3.3744497851628297,FTI,1.1015642941040393
2013,11,FLR,3.3025820847038254,CBG,1.1451361885404334
2013,11,HBAN,3.2935943628568163,MET,1.1702086036632067
2013,11,PCLN,3.293347188552628,AXP,1.199584393799841
2013,11,HES,3.24827876152577,XLNX,1.200754251918831
2013,12,BIIB,3.6863164426756247,KSU,1.209678185546312
2013,12,AMG,3.585198681186945,STZ,1.2370433028108363
2013,12,AMD,3.493264598117346,RHI,1.2698778236056416
2013,12,EMR,3.4683921800762283,CTXS,1.2731138183198065
2013,12,MAA,3.27942387107663,UAL,1.281493430529522
2013,12,UAA,3.2162696597643547,SO,1.2879669869180457
2013,12,FMC,3.216020068627844,UHS,1.1598081517645653
2013,12,HBAN,3.1955192979155833,ADI,1.161268628239366
2013,12,IPG,3.165009947133843,ANSS,1.1625968575751457
2013,12,ULTA,3.154832075562388,VZ,1.17369739181158
2013,13,AES,3.5787353661909167,JPM,1.1797881718275638
2013,13,PCLN,3.5659746869049687,CELG,1.2050416487381697
2013,13,SBAC,3.5011870986874,DVN,1.215003850350596
